date,beta_kalman
2016-07-26,0.8370948300527952
2016-07-27,0.8662917970247392
2016-07-28,0.8466516017962816
2016-07-29,0.8785728382386289
2016-08-01,0.9169640707265543
2016-08-02,1.0256333372298871
2016-08-03,1.0774154176301287
2016-08-04,1.075406729234592
2016-08-05,0.9963376804802279
2016-08-08,0.9858512474432993
2016-08-09,0.9839628584515024
2016-08-10,0.956452712362791
2016-08-11,0.9356447680497432
2016-08-12,0.9430531425630753
2016-08-16,0.9731779443309437
2016-08-17,0.9533507008927541
2016-08-18,0.935890988238127
2016-08-19,0.9396479086418771
2016-08-22,0.9320244516347542
2016-08-23,0.9650920144461256
2016-08-24,0.8795011568379314
2016-08-25,0.9021609974758368
2016-08-26,0.9272366529199552
2016-08-29,0.9149987069776435
2016-08-30,0.905124480249929
2016-08-31,0.9034713648955831
2016-09-01,0.9034013315098067
2016-09-02,0.8911056374234354
2016-09-06,0.8500076311894901
2016-09-07,0.8501533416097738
2016-09-08,0.8156385702136124
2016-09-09,0.8334741670855828
2016-09-12,0.7432277038748496
2016-09-13,0.7848181980880206
2016-09-14,0.7862344645671727
2016-09-15,0.7820779166179042
2016-09-16,0.7787561947244906
2016-09-19,0.7786364481151147
2016-09-20,0.7810129456956239
2016-09-21,0.8353855932373586
2016-09-22,0.880590668919144
2016-09-23,0.8755198824879793
2016-09-26,0.8008935915589174
2016-09-27,0.8496982040131379
2016-09-28,0.9192650863620532
2016-09-29,0.9572204314054961
2016-09-30,0.9528653062355699
2016-10-03,0.9060509274781394
2016-10-04,0.8673868776128788
2016-10-05,0.8584797834803216
2016-10-06,0.8555027118095144
2016-10-07,0.8378992013697365
2016-10-11,0.8517147637620857
2016-10-12,0.850705997242079
2016-10-13,0.8523774580120056
2016-10-14,0.8524345249405136
2016-10-17,0.8496833009310291
2016-10-18,0.8088561270211886
2016-10-19,0.8054335912993577
2016-10-20,0.8012276223127281
2016-10-21,0.8003729821493953
2016-10-24,0.7781498868757185
2016-10-25,0.7642435416579599
2016-10-26,0.7805950582504131
2016-10-27,0.7914329463188103
2016-10-28,0.7985507728744826
2016-10-31,0.7991846055377324
2016-11-01,0.840103077337823
2016-11-02,0.8638136427978402
2016-11-03,0.8727748151464093
2016-11-04,0.8876701062212098
2016-11-07,0.9213146833806447
2016-11-08,0.9170839826062221
2016-11-09,0.797725880133722
2016-11-10,0.7780770241418058
2016-11-11,0.7706376223812438
2016-11-14,0.7722148705364106
2016-11-15,0.8887725959175495
2016-11-16,0.8817484125009599
2016-11-17,0.8824463893944935
2016-11-18,0.8740300287354944
2016-11-21,0.9437748244312947
2016-11-22,0.9632213767018583
2016-11-23,0.9654774354079805
2016-11-25,0.9507475560127611
2016-11-29,0.9698434904065518
2016-11-30,0.9954114301658652
2016-12-01,1.0005337710942925
2016-12-02,0.998218149572827
2016-12-05,0.9816236637269639
2016-12-06,1.0007217544745648
2016-12-07,0.8988739923914314
2016-12-12,0.864428616663696
2016-12-13,0.9105503582231712
2016-12-14,0.9648794144565401
2016-12-15,0.9832087486643187
2016-12-16,0.985909490944737
2016-12-19,0.9676792248979533
2016-12-20,0.9626862281538247
