Date,lme,alua_ars,dxy,ggal_adr,ggal_ars,txar_ars,sp500,merval,us10y,lme_adj,alua_ars_adj,dxy_adj,ggal_adr_adj,ggal_ars_adj,txar_ars_adj,sp500_adj,merval_adj,us10y_adj
2016-07-01,1704.75,9.880000114440918,95.6500015258789,30.93000030517578,46.5,7.769999980926514,2102.949951171875,15112.0,1.4559999704360962,1704.75,7.437086582183838,95.6500015258789,22.858341217041016,33.63336944580078,5.8965535163879395,2102.949951171875,15112.0,1.4559999704360962
2016-07-04,,10.199999809265137,,,46.150001525878906,7.920000076293945,,15229.0,,,7.6779608726501465,,,33.38021469116211,6.010385990142822,,15229.0,
2016-07-05,1685.75,10.199999809265137,96.16999816894531,30.670000076293945,45.79999923706055,7.699999809265137,2088.550048828125,14807.0,1.3669999837875366,1685.75,7.6779608726501465,96.16999816894531,22.666194915771484,33.12705993652344,5.843430995941162,2088.550048828125,14807.0,1.3669999837875366
2016-07-06,1691.75,10.050000190734863,96.05999755859375,30.600000381469727,45.599998474121094,7.599999904632568,2099.72998046875,14691.0,1.3849999904632568,1691.75,7.56505012512207,96.05999755859375,22.614463806152344,32.982398986816406,5.767542362213135,2099.72998046875,14691.0,1.3849999904632568
2016-07-07,1679.0,10.149999618530273,96.33000183105469,30.760000228881836,45.5,7.690000057220459,2097.89990234375,14690.0,1.3869999647140503,1679.0,7.640324115753174,96.33000183105469,22.732707977294922,32.91006851196289,5.835842609405518,2097.89990234375,14690.0,1.3869999647140503
2016-07-08,1699.0,,96.30000305175781,30.8799991607666,,,2129.89990234375,,1.3660000562667847,1699.0,,96.30000305175781,22.821393966674805,,,2129.89990234375,,1.3660000562667847
2016-07-11,1689.0,10.149999618530273,96.56999969482422,31.170000076293945,45.75,7.739999771118164,2137.159912109375,14977.0,1.434000015258789,1689.0,7.640324115753174,96.56999969482422,23.035715103149414,33.09089660644531,5.873786449432373,2137.159912109375,14977.0,1.434000015258789
2016-07-12,1714.0,10.100000381469727,96.44000244140625,31.1200008392334,45.150001525878906,7.619999885559082,2152.139892578125,15101.0,1.5130000114440918,1714.0,7.602686405181885,96.44000244140625,22.998760223388672,32.656925201416016,5.78272008895874,2152.139892578125,15101.0,1.5130000114440918
2016-07-13,1710.5,9.989999771118164,96.22000122070312,31.700000762939453,46.150001525878906,7.650000095367432,2152.429931640625,15145.0,1.468000054359436,1710.5,7.51988410949707,96.22000122070312,23.427398681640625,33.38021469116211,5.805486679077148,2152.429931640625,15145.0,1.468000054359436
2016-07-14,1719.0,9.699999809265137,96.08000183105469,32.15999984741211,47.349998474121094,7.5,2163.75,15470.0,1.531000018119812,1719.0,7.301590919494629,96.08000183105469,23.767358779907227,34.248172760009766,5.691653728485107,2163.75,15470.0,1.531000018119812
